relative_humidity_2m,wind_speed_10m,temperature_2m,Cluster,PCA1,PCA2
94.0,7.7,-2.3,1,1.6042928885013945,1.0483587235863874
93.0,7.8,-2.3,1,1.5466322914021817,1.070697226723414
89.0,7.5,-2.0,1,1.3371072351177806,1.0057989365027382
84.0,8.0,-1.5,1,1.0077142009301376,1.0872729233793816
78.0,9.7,-0.7,0,0.5240801154852811,1.3868590161537542
71.0,9.7,0.2,0,0.09226520947334851,1.3527140007739706
78.0,7.6,-0.9,1,0.6778302189441066,0.9905828712260845
76.0,9.4,-0.5,0,0.4250167313297941,1.3222191927017772
76.0,4.8,-0.5,1,0.7257999629098393,0.42770854523753743
85.0,4.0,-2.1,1,1.3696947267118904,0.3428071928319922
92.0,4.6,-2.6,1,1.7294049983470776,0.46945268700814546
91.0,4.2,-3.4,1,1.7701823086739579,0.44291141803612166
92.0,3.8,-3.8,1,1.8803312424381746,0.3864100870243059
93.0,3.8,-3.7,1,1.9232350638951585,0.3774737617661083
94.0,4.1,-3.9,1,1.9711766168553464,0.44500620471458535
94.0,3.1,-4.2,1,2.061218305109433,0.26867848559441004
95.0,2.9,-4.1,1,2.1171996583742447,0.2208503930551583
95.0,3.4,-4.0,1,2.0762878191163594,0.312036105496095
95.0,4.7,-3.6,1,1.9584118234122152,0.5406577697761533
95.0,5.2,-3.5,1,1.9174999841543297,0.63184348221709
94.0,4.6,-3.3,1,1.8891747289058836,0.5059733883470319
95.0,3.1,-3.3,1,2.0383780486598932,0.21139251424262798
95.0,3.1,-3.2,1,2.030160038921578,0.20534880848093012
95.0,3.6,-3.1,1,1.9892481996636924,0.29653452092186683
96.0,4.4,-3.2,1,1.9962779133659947,0.45525267631128075
94.0,4.1,-3.0,1,1.8972145292105074,0.3906128528593032
90.0,4.1,-2.3,1,1.6352011362611032,0.3598773905134162
82.0,5.4,-1.1,1,1.0426064130880426,0.5632903646718886
73.0,5.9,0.3,1,0.4347639664743641,0.601941477679249
72.0,6.8,1.4,1,0.23439513502236917,0.7133662865618131
72.0,3.9,0.3,1,0.5144174533573455,0.21591642436520975
70.0,3.2,0.6,1,0.4332911230791992,0.06744936058942666
76.0,3.1,-0.4,1,0.8287409735380623,0.09108481758688138
76.0,4.2,-0.1,1,0.7321605193800617,0.2868584203475837
82.0,4.6,-0.9,1,1.078480520842724,0.39563588402427696
88.0,3.1,-1.6,1,1.540819064741437,0.12889785276926027
98.0,5.1,-4.7,1,2.176020360503926,0.6762442092274398
97.0,5.2,-5.1,1,2.151231802357975,0.7227575354112586
100.0,2.1,-3.4,1,2.367592873413845,0.008514286116557662
98.0,2.9,-4.9,1,2.3363092298666657,0.2605221806592431
98.0,3.3,-4.9,1,2.3101541662510097,0.33830571522135083
97.0,3.4,-5.8,1,2.326455656796635,0.4150375702136596
98.0,4.0,-3.3,1,2.1328946491105647,0.37772760851787124
97.0,3.4,-3.0,1,2.0963513841238033,0.24581380888611531
97.0,2.5,-2.9,1,2.1469822675207144,0.06475715035967476
98.0,2.5,-3.0,1,2.2063221084543287,0.06790823662487294
98.0,3.7,-3.1,1,2.136074927345676,0.3073025460728944
98.0,4.7,-3.3,1,2.0871232877831662,0.5138487940015598
98.0,4.7,-3.7,1,2.1199953267364284,0.5380236170483521
96.0,1.8,-3.6,1,2.199157865821021,-0.026165475295627964
97.0,2.6,-2.9,1,2.1404435016168004,0.08420303400020178
94.0,3.2,-1.6,1,1.841011286009318,0.13098801943078855
86.0,3.9,-0.2,1,1.2712131387831107,0.20563828022270308
78.0,2.0,1.1,1,0.8796409147969837,-0.2192607278773849
69.0,2.6,0.5,1,0.4296198970456997,-0.040289615995537174
66.0,3.6,0.9,1,0.17799470546740015,0.13867225585243959
71.0,3.1,0.2,1,0.5238237591316742,0.0692856804991921
83.0,8.0,-3.3,1,1.104516545024516,1.1989522465864457
87.0,6.3,-2.6,1,1.3626368220040432,0.8144958063796024
93.0,3.3,-0.8,1,1.7176066110035817,0.1049768764742312
100.0,3.4,-1.6,1,2.134664741373285,0.15252406973284385
100.0,6.0,-5.0,1,2.244069158974245,0.8636030402842771
100.0,5.5,-4.8,1,2.260326969017184,0.7542862105582461
99.0,6.0,-5.2,1,2.209383347255576,0.8785830713041728
100.0,3.9,-3.7,1,2.274549116358339,0.37667130893113693
100.0,1.9,-2.8,1,2.33136234679178,-0.06663971573468426
99.0,3.0,-3.8,1,2.290494188036581,0.21059468142459206
99.0,2.8,-3.0,1,2.2378276419378857,0.12335326804995411
99.0,2.8,-3.1,1,2.2460456516762015,0.12939697381165216
98.0,3.3,-3.6,1,2.203320039652909,0.25973754031927665
96.0,2.9,-3.3,1,2.1025774116630207,0.16960812746507428
99.0,3.6,-3.5,1,2.226607563398151,0.3091388659826599
100.0,1.5,-2.1,1,2.299991342239229,-0.18672919062867807
100.0,0.7,-2.3,1,2.3687374889471715,-0.33020884822949753
